Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.100, 100.000, 100.000, 48.559, 15.517, 46.003, 36.642, 43.825
0.200, 100.000, 100.000, 47.058, 13.179, 44.631, 34.485, 42.527
0.300, 100.000, 100.000, 46.177, 12.083, 43.782, 33.313, 41.758
0.400, 100.000, 100.000, 45.522, 11.346, 43.159, 32.516, 41.185
0.500, 100.000, 100.000, 44.933, 10.789, 42.687, 31.926, 40.711
0.600, 100.000, 100.000, 44.516, 10.357, 42.263, 31.450, 40.295
0.700, 100.000, 100.000, 44.135, 9.988, 41.949, 31.047, 39.970
0.800, 100.000, 100.000, 43.783, 9.661, 41.697, 30.698, 39.700
0.900, 100.000, 100.000, 43.450, 9.385, 41.461, 30.389, 39.465
1.000, 100.000, 100.000, 43.134, 9.140, 41.236, 30.100, 39.242
1.100, 100.000, 100.000, 42.908, 8.909, 41.016, 29.837, 39.042
1.200, 100.000, 100.000, 42.634, 8.701, 40.828, 29.591, 38.863
1.300, 100.000, 100.000, 42.402, 8.508, 40.655, 29.365, 38.698
1.400, 100.000, 100.000, 42.223, 8.329, 40.471, 29.164, 38.542
1.500, 100.000, 100.000, 41.985, 8.168, 40.325, 28.968, 38.397
1.600, 100.000, 100.000, 41.795, 8.013, 40.168, 28.784, 38.274
1.700, 100.000, 100.000, 41.586, 7.866, 40.037, 28.612, 38.148
1.800, 100.000, 100.000, 41.402, 7.733, 39.906, 28.457, 38.045
1.900, 100.000, 100.000, 41.211, 7.607, 39.743, 28.309, 37.915
2.000, 100.000, 100.000, 41.074, 7.482, 39.628, 28.168, 37.800
2.100, 100.000, 100.000, 40.925, 7.362, 39.513, 28.033, 37.711
2.200, 100.000, 100.000, 40.747, 7.262, 39.387, 27.901, 37.592
2.300, 100.000, 100.000, 40.616, 7.161, 39.277, 27.772, 37.495
2.400, 100.000, 100.000, 40.437, 7.053, 39.178, 27.654, 37.404
2.500, 100.000, 100.000, 40.276, 6.967, 39.078, 27.540, 37.295
2.600, 100.000, 100.000, 40.145, 6.863, 38.963, 27.426, 37.196
2.700, 100.000, 100.000, 40.008, 6.773, 38.874, 27.313, 37.105
2.800, 100.000, 100.000, 39.925, 6.691, 38.769, 27.206, 37.002
2.900, 100.000, 100.000, 39.806, 6.611, 38.685, 27.105, 36.920
3.000, 100.000, 100.000, 39.711, 6.527, 38.612, 27.004, 36.844
3.100, 100.000, 100.000, 39.568, 6.445, 38.533, 26.909, 36.755
3.200, 100.000, 100.000, 39.437, 6.369, 38.387, 26.816, 36.658
3.300, 100.000, 100.000, 39.300, 6.300, 38.324, 26.729, 36.570
3.400, 100.000, 100.000, 39.228, 6.226, 38.240, 26.646, 36.516
3.500, 100.000, 100.000, 39.109, 6.161, 38.146, 26.566, 36.423
3.600, 100.000, 100.000, 39.002, 6.094, 38.078, 26.487, 36.366
3.700, 100.000, 100.000, 38.925, 6.029, 38.025, 26.408, 36.304
3.800, 100.000, 100.000, 38.770, 5.967, 37.952, 26.333, 36.246
3.900, 100.000, 100.000, 38.704, 5.906, 37.868, 26.258, 36.166
4.000, 100.000, 100.000, 38.627, 5.857, 37.805, 26.184, 36.102
4.100, 100.000, 100.000, 38.591, 5.795, 37.742, 26.115, 36.038
4.200, 100.000, 100.000, 38.496, 5.735, 37.685, 26.045, 35.982
4.300, 100.000, 100.000, 38.418, 5.682, 37.622, 25.977, 35.933
4.400, 100.000, 100.000, 38.311, 5.635, 37.575, 25.911, 35.873
4.500, 100.000, 100.000, 38.210, 5.582, 37.522, 25.841, 35.818
4.600, 100.000, 100.000, 38.121, 5.529, 37.459, 25.772, 35.750
4.700, 100.000, 100.000, 38.008, 5.481, 37.397, 25.705, 35.692
4.800, 100.000, 100.000, 37.894, 5.429, 37.344, 25.641, 35.647
4.900, 100.000, 100.000, 37.805, 5.379, 37.276, 25.574, 35.595
5.000, 100.000, 100.000, 37.734, 5.331, 37.218, 25.512, 35.535
5.100, 100.000, 100.000, 37.680, 5.286, 37.161, 25.448, 35.484
5.200, 100.000, 100.000, 37.609, 5.245, 37.114, 25.385, 35.424
5.300, 100.000, 100.000, 37.513, 5.201, 37.056, 25.318, 35.383
5.400, 100.000, 100.000, 37.448, 5.155, 36.993, 25.256, 35.342
5.500, 100.000, 100.000, 37.388, 5.117, 36.946, 25.196, 35.278
5.600, 100.000, 100.000, 37.275, 5.075, 36.894, 25.139, 35.232
5.700, 100.000, 100.000, 37.234, 5.041, 36.847, 25.076, 35.189
5.800, 100.000, 100.000, 37.156, 4.997, 36.805, 25.018, 35.142
5.900, 100.000, 100.000, 37.061, 4.959, 36.742, 24.961, 35.090
6.000, 100.000, 100.000, 36.977, 4.915, 36.684, 24.901, 35.022
6.100, 100.000, 100.000, 36.912, 4.880, 36.621, 24.844, 34.969
6.200, 100.000, 100.000, 36.829, 4.844, 36.574, 24.785, 34.934
6.300, 100.000, 100.000, 36.781, 4.809, 36.537, 24.730, 34.892
6.400, 100.000, 100.000, 36.698, 4.775, 36.501, 24.677, 34.857
6.500, 100.000, 100.000, 36.650, 4.732, 36.454, 24.623, 34.814
6.600, 100.000, 100.000, 36.567, 4.701, 36.422, 24.570, 34.777
6.700, 100.000, 100.000, 36.483, 4.660, 36.386, 24.516, 34.746
6.800, 100.000, 100.000, 36.400, 4.629, 36.333, 24.464, 34.703
6.900, 100.000, 100.000, 36.317, 4.598, 36.302, 24.416, 34.674
7.000, 100.000, 100.000, 36.257, 4.568, 36.249, 24.362, 34.618
7.100, 100.000, 100.000, 36.156, 4.531, 36.202, 24.312, 34.585
7.200, 100.000, 100.000, 36.114, 4.499, 36.145, 24.262, 34.534
7.300, 100.000, 100.000, 36.049, 4.470, 36.092, 24.211, 34.499
7.400, 100.000, 100.000, 35.977, 4.442, 36.056, 24.162, 34.460
7.500, 100.000, 100.000, 35.900, 4.420, 36.024, 24.116, 34.419
7.600, 100.000, 100.000, 35.840, 4.385, 35.982, 24.071, 34.392
7.700, 100.000, 100.000, 35.769, 4.358, 35.930, 24.026, 34.353
7.800, 100.000, 100.000, 35.715, 4.328, 35.888, 23.980, 34.307
7.900, 100.000, 100.000, 35.650, 4.297, 35.872, 23.935, 34.272
8.000, 100.000, 100.000, 35.578, 4.265, 35.836, 23.891, 34.243
8.100, 100.000, 100.000, 35.519, 4.234, 35.788, 23.846, 34.206
8.200, 100.000, 100.000, 35.441, 4.205, 35.752, 23.804, 34.180
8.300, 100.000, 100.000, 35.352, 4.180, 35.715, 23.762, 34.138
8.400, 100.000, 100.000, 35.275, 4.149, 35.668, 23.723, 34.107
8.500, 100.000, 100.000, 35.221, 4.121, 35.626, 23.682, 34.070
8.600, 100.000, 100.000, 35.167, 4.099, 35.584, 23.640, 34.033
8.700, 100.000, 100.000, 35.120, 4.072, 35.532, 23.603, 33.994
8.800, 100.000, 100.000, 35.060, 4.049, 35.511, 23.564, 33.967
8.900, 100.000, 100.000, 34.995, 4.027, 35.458, 23.527, 33.930
